Cycle,Capacity(Ah),Voltage Measured(V),Current Measured,Temperature Measured,Time Measured(Sec),SampleId
0,1.856487421,3.277169977,-0.006528351,34.23085284,3690.234,B0005
0,2.035337591,2.475767757,-2.009435892,39.16298653,3690.234,B0006
0,1.891052295,3.062112709,-0.001433299,37.33847849,3690.234,B0007
0,1.855004521,3.053230339,-0.002433415,37.2056713,3434.891,B0018
1,1.84632725,3.300244887,-0.000447553,34.39213659,3672.344,B0005
1,2.025140246,2.351525512,-2.010374856,39.24620268,3672.344,B0006
1,1.880637028,3.079226238,-0.003230385,37.1617386,3672.344,B0007
1,1.843195532,3.08820017,-0.000910648,37.15547522,3425.485,B0018
2,1.835349194,3.32745101,0.001026019,34.23277872,3651.641,B0005
2,2.013326371,2.440479715,-2.008558887,38.99920246,3651.641,B0006
2,1.880662672,3.063265547,-0.003157783,37.50810004,3651.641,B0007
2,1.839601842,3.076857654,-0.000684881,36.68085193,3410.375,B0018
3,1.835262528,3.314181859,-0.002233622,34.41344995,3631.563,B0005
3,2.013284666,2.479155854,-2.009290448,38.84362777,3631.563,B0006
3,1.880770901,3.039420908,-0.003421518,37.85540509,3631.563,B0007
3,1.830673604,3.10242391,-0.0025472,36.04487047,3404.719,B0018
4,1.834645508,3.305496731,9.24E-06,34.34588499,3629.172,B0005
4,2.000528338,2.280187848,-2.01176084,38.97798888,3629.172,B0006
4,1.879450873,3.043167178,-0.00235509,37.83587047,3629.172,B0007
4,1.832700207,3.117644174,-0.003002155,37.08459677,3417.641,B0018
5,1.83566166,3.302329113,-0.00396723,34.20092692,3652.281,B0005
5,2.013899076,2.439284257,-2.010947045,38.83989921,3652.281,B0006
5,1.880700352,3.123387982,-0.002524129,36.68060295,3652.281,B0007
5,1.828528885,3.114007319,-0.001247787,37.05331129,3411.766,B0018
6,1.835146143,3.29374067,-0.003424827,34.29828476,3650.828,B0005
6,2.013101106,2.281206845,-2.012014627,39.04610837,3650.828,B0006
6,1.879935252,3.118582129,-0.002681968,36.84575704,3650.828,B0007
6,1.82120119,3.169283092,-0.000793812,36.3514535,3399.516,B0018
7,1.825756791,3.316230741,0.001710239,34.76224184,3572.453,B0005
7,1.968789826,2.366410527,-2.009602654,38.87507521,3572.453,B0006
7,1.881508812,3.04842921,-0.003604924,38.24441491,3572.453,B0007
7,1.815170011,3.164680268,-0.00071762,36.12752493,3388.75,B0018
8,1.824773853,3.297410935,-0.001004052,35.05182953,3550.594,B0005
8,1.968166176,2.43602005,-2.010503182,38.72605398,3550.594,B0006
8,1.869690787,3.016246202,0.000274813,38.66297037,3550.594,B0007
8,1.804298052,3.166890959,0.000448821,36.03872902,3380.406,B0018
9,1.824613268,3.288404483,0.001261401,35.02973666,3551.25,B0005
9,1.957230792,2.186437749,-2.012000629,38.98629729,3551.25,B0006
9,1.87005238,3.005452832,-0.006725827,38.74331536,3551.25,B0007
9,1.82310023,3.144175531,-0.000968223,36.34921922,3404.141,B0018
10,1.824619553,3.266275575,0.000285052,35.32247969,3530.25,B0005
10,1.945599151,2.340602361,-2.008605764,38.65978862,3530.25,B0006
10,1.870044239,2.96653348,-0.002366402,39.17593372,3530.25,B0007
10,1.812125352,3.163511863,-0.00010607,36.41785812,3396.141,B0018
11,1.814201936,3.296199859,-0.000775731,35.59296016,3491.016,B0005
11,1.934750504,2.426302137,-2.008093199,38.84979196,3491.016,B0006
11,1.859651899,2.95834762,-0.006579885,39.59267385,3491.016,B0007
11,1.804691638,3.197452536,-0.001104817,35.98523209,3384.094,B0018
12,1.813752158,3.271757416,-0.000472438,35.96127245,3470.281,B0005
12,1.923279954,2.47536977,-2.008861764,38.75128344,3470.281,B0006
12,1.859074656,2.896976192,-0.004714079,39.74652756,3470.281,B0007
12,1.79084435,3.234382458,0.00320499,35.35847798,3370.656,B0018
13,1.813440491,3.264855084,-0.002505993,35.8696097,3470,B0005
13,1.911889931,2.342364524,-2.01142588,38.76853764,3470,B0006
13,1.859008458,2.876004651,-0.000450805,39.88045079,3470,B0007
13,1.783470723,3.241810891,-0.000536101,35.09411802,3357.797,B0018
14,1.802598004,3.309111202,-3.78E-05,35.53204381,3450.297,B0005
14,1.901066714,2.188400082,-2.009440178,38.84686112,3450.297,B0006
14,1.859362259,2.949033322,-0.006585241,39.17973626,3450.297,B0007
14,1.780938613,3.227333798,-0.004295588,35.57799246,3363.015,B0018
15,1.8021069,3.288149053,-0.001359333,35.81031289,3429.407,B0005
15,1.889198995,2.120698095,-2.006293377,38.86588978,3429.407,B0006
15,1.858735545,2.817578543,-0.004489723,39.56365952,3429.407,B0007
15,1.77120904,3.238447609,-0.001087277,35.99210617,3357.734,B0018
16,1.802579501,3.260754101,-0.000793555,36.24247715,3409.484,B0005
16,1.878278372,2.369981458,-2.008399903,38.64757873,3409.484,B0006
16,1.847817291,1.857554767,-1.988671436,39.62894832,3409.484,B0007
16,1.7686304,3.252365296,0.003057635,35.93164465,3344.187,B0018
17,1.803068314,3.229466822,-0.004407894,36.70221725,3390.422,B0005
17,1.867569716,2.24799165,-2.010307487,38.79218188,3390.422,B0006
17,1.848525292,2.165755612,-1.988513259,39.22534721,3390.422,B0007
17,1.75363048,3.298355582,-0.000542197,35.13854125,3339.969,B0018
18,1.802777625,3.224378895,-0.001862126,36.77890978,3390.281,B0005
18,1.867589257,2.88444637,-0.002277241,38.77022224,3390.281,B0006
18,1.848378952,2.027068634,-1.985790712,39.41263216,3390.281,B0007
18,1.746219742,3.299099453,0.001727477,34.75361973,3327.641,B0018
19,1.847025995,3.258740332,-3.54E-05,34.93481911,3591.734,B0005
19,1.979626548,2.203355847,-2.009911452,37.543206,3591.734,B0006
19,1.880780544,2.990508602,-0.003199994,38.26643351,3591.734,B0007
19,1.737664734,3.282912204,0.000396205,34.66683735,3312.844,B0018
20,1.847417311,3.218046215,0.000151942,36.06881903,3552.297,B0005
20,1.957549908,2.358877512,-2.010023847,37.90362578,3552.297,B0006
20,1.88147216,2.924443669,-0.002762863,39.34502064,3552.297,B0007
20,1.731516674,3.314359923,-0.00076384,34.31957483,3302.031,B0018
21,1.836177421,3.257309627,-0.002765735,35.57131957,3531.578,B0005
21,1.945815017,2.218672914,-2.0106213,37.67016051,3531.578,B0006
21,1.881095431,2.985701673,-0.002733686,38.40282689,3531.578,B0007
21,1.708594989,3.337095987,0.001460622,34.05159011,3305.547,B0018
22,1.825780748,3.280256747,-0.000195349,35.49553079,3492.907,B0005
22,1.924246112,2.339723058,-2.009836812,37.34166959,3492.907,B0006
22,1.871008965,2.862448292,-0.002279917,39.19501045,3492.907,B0007
22,1.711469957,3.345396458,0.00033552,34.1400493,3289.562,B0018
23,1.825113644,3.279765451,-0.001914706,35.20943494,3511.594,B0005
23,1.945981133,2.399750821,-2.008549111,37.28979017,3511.594,B0006
23,1.870199515,2.913932303,-0.000793744,39.01311177,3511.594,B0007
23,1.707502137,3.356538776,0.001851751,34.03941375,3283.797,B0018
24,1.825581504,3.205068916,-0.000256915,36.50765859,3431.937,B0005
24,1.901407931,2.491410879,-2.011253162,37.16794481,3431.937,B0006
24,1.870671536,2.050649264,-1.989613682,38.86906912,3431.937,B0007
24,1.749238206,3.291271946,0.000648271,34.67226842,3325.235,B0018
25,1.814031128,3.276866922,0.000664357,35.87513759,3431.125,B0005
25,1.878674214,2.766926989,-0.001348364,37.51577849,3431.125,B0006
25,1.859612464,1.825436974,-1.98974122,39.11839966,3431.125,B0007
25,1.732769715,3.299724834,0.000922714,35.34646737,3317.547,B0018
26,1.814769194,3.231130028,-0.002598176,36.32486455,3412.406,B0005
26,1.868306133,2.835612847,-0.000999652,37.24165964,3412.406,B0006
26,1.86003391,2.134879001,-1.989867366,38.68010761,3412.406,B0007
26,1.722231333,3.343787628,-0.001165964,35.22218595,3311.766,B0018
27,1.813969389,3.222025773,-0.000146263,36.4068772,3410.688,B0005
27,1.856024407,2.928394635,-0.003474006,37.10097467,3410.688,B0006
27,1.859165311,1.970455493,-1.987792527,38.86304568,3410.688,B0007
27,1.711846299,3.35820819,0.001578776,35.04987373,3305.218,B0018
28,1.802765665,3.290082794,-0.004012055,35.8741726,3410.718,B0005
28,1.845199796,3.077114958,-0.006584952,36.53635084,3410.718,B0006
28,1.848139818,1.813269431,-1.987021065,39.1453117,3410.718,B0007
28,1.699267835,3.355478059,0.001821746,34.99761831,3295.453,B0018
29,1.80407704,3.251176185,-0.00145143,36.40595071,3392.719,B0005
29,1.857228891,2.819560587,0.00178434,37.4960777,3392.719,B0006
29,1.849201702,2.048365732,-1.98805526,38.83805642,3392.719,B0007
29,1.694036644,3.380671603,-0.002532937,34.54102016,3287,B0018
30,1.851802552,3.249283482,-0.001499701,36.28230125,3470.672,B0005
30,1.924776089,2.434300686,-2.010184355,37.25007396,3470.672,B0006
30,1.883467744,2.88288877,-0.002596243,38.78113988,3470.672,B0007
30,1.681902708,3.39557049,0.0009201,34.50920677,3276.922,B0018
31,1.830703846,3.260087599,-0.001228815,36.73981915,3414.109,B0005
31,1.882231753,2.918775739,0.000219946,37.27669936,3414.109,B0006
31,1.862821112,2.117779935,-1.987749839,39.05387577,3414.109,B0007
31,1.676977062,3.391299823,-0.001831758,34.91065229,3268.687,B0018
32,1.819904109,3.281146601,0.001947239,36.49603036,3395.219,B0005
32,1.855276688,2.973956909,-0.003806457,37.05346892,3395.219,B0006
32,1.85208504,2.163744879,-1.98796554,38.6995517,3395.219,B0007
32,1.665522931,3.404046821,0.001599273,34.89441645,3260.594,B0018
33,1.809307964,3.30937152,-0.001003526,36.04392364,3386,B0005
33,1.839250892,3.033433372,0.001159494,36.4901977,3386,B0006
33,1.846950465,2.045656147,-1.987623052,38.60524149,3386,B0007
33,1.657192458,3.418829402,0.002319651,34.53288079,3258.812,B0018
34,1.804609905,3.295594468,-0.00183497,36.22444539,3368.187,B0005
34,1.818539607,3.061692514,-0.002470616,36.1735162,3368.187,B0006
34,1.836828431,2.135620227,-1.990880773,38.42604748,3368.187,B0007
34,1.648224156,3.414850129,-0.000457712,34.51313963,3243.422,B0018
35,1.799377065,3.317198245,-0.000170868,36.48129579,3368.266,B0005
35,1.813477006,3.086421448,-0.002485657,36.69172174,3368.266,B0006
35,1.837161962,2.042987154,-1.987965741,39.04689689,3368.266,B0007
35,1.63877015,3.416022,0.00132745,34.43103153,3236.515,B0018
36,1.788443234,3.347818507,-0.000831225,35.98576133,3358.719,B0005
36,1.797101845,3.137787322,-0.002908292,36.30505452,3358.719,B0006
36,1.831672258,1.978616239,-1.985827106,38.83676496,3358.719,B0007
36,1.627648691,3.455015989,0.001548641,33.89640362,3230.734,B0018
37,1.782923048,3.337821924,-0.00284374,36.10148289,3339.5,B0005
37,1.781004629,3.150115639,-0.001828625,36.06439554,3339.5,B0006
37,1.821147095,2.158453576,-1.988696121,38.49981471,3339.5,B0007
37,1.622153702,3.436281191,0.003092328,34.56920757,3222.093,B0018
38,1.773033716,3.364372479,-0.004309732,35.8592178,3331.265,B0005
38,1.771013042,3.173892042,-0.008825734,36.017314,3331.265,B0006
38,1.816506092,2.092603699,-1.987126806,38.58234015,3331.265,B0007
38,1.614006651,3.44499732,0.00109371,34.50595871,3220.344,B0018
39,1.773037755,3.336014494,0.002106451,36.40939106,3321.188,B0005
39,1.760471245,3.19720715,-0.003438127,35.90775443,3321.188,B0006
39,1.81138156,2.152888643,-1.988000423,38.78749983,3321.188,B0007
39,1.676051615,3.336282449,-0.001096783,34.92518024,3250.75,B0018
40,1.767872111,3.355659628,0.001443794,36.77364626,3321.844,B0005
40,1.750291379,3.227568459,-0.004927191,36.35807936,3321.844,B0006
40,1.811605633,2.053741883,-1.989763558,39.31221126,3321.844,B0007
40,1.649300643,3.406910129,0.003628593,34.21002176,3239.344,B0018
41,1.76231507,3.361490198,0.000905102,36.84756032,3311.828,B0005
41,1.739492504,3.230858082,-0.001453012,36.50421626,3311.828,B0006
41,1.806054896,2.079330059,-1.986886765,39.40567993,3311.828,B0007
41,1.632382992,3.408535629,-0.0009739,34.19993306,3222.25,B0018
42,1.767617292,3.346968122,-0.001459488,36.71091395,3327.391,B0005
42,1.754676655,3.199633267,-0.002292562,36.99126483,3327.391,B0006
42,1.813204183,2.07597933,-1.987433786,39.32802758,3327.391,B0007
42,1.616415972,3.424618629,-0.000917253,33.93860566,3206.157,B0018
43,1.76266836,3.371210049,-0.000750036,36.38019708,3312.078,B0005
43,1.765939094,3.189810324,-0.002874522,36.81410786,3312.078,B0006
43,1.806264194,2.067434948,-1.987118282,38.61125282,3312.078,B0007
43,1.610902838,3.451040334,0.000593435,33.47620704,3197.969,B0018
44,1.751730487,3.379951819,-0.001351175,36.1805145,3293.172,B0005
44,1.733788742,3.249962213,-0.004430989,35.9486655,3293.172,B0006
44,1.795831025,2.037264031,-1.985217168,38.56972695,3293.172,B0007
44,1.595463869,3.447127789,-0.003046378,33.53169798,3181.625,B0018
45,1.741849605,3.391867016,-0.00071823,36.07117792,3275.328,B0005
45,1.713325912,3.276178622,-0.002886507,35.80761415,3275.328,B0006
45,1.78588526,2.163267419,-1.990826155,38.34572084,3275.328,B0007
45,1.72670744,3.153251692,-0.000685326,34.64187919,3302.36,B0018
46,1.736091351,3.389321801,-0.00163827,36.06727402,3265.016,B0005
46,1.702407781,3.289233794,-0.001482136,35.72741105,3265.016,B0006
46,1.78032686,2.106631527,-1.990104969,38.48254063,3265.016,B0007
46,1.716567392,3.220999602,-0.001743322,34.51797227,3285.812,B0018
47,1.793624015,3.239960443,-0.002410259,39.39707856,3328.937,B0005
47,1.823719462,2.93495168,-0.002635958,39.5737867,3328.937,B0006
47,1.81507569,2.180927286,-1.988974957,41.04994219,3328.937,B0007
47,1.695823557,3.27953431,0.000826926,34.4020179,3260.016,B0018
48,1.783189022,3.31112764,-0.000476084,38.24790664,3329.266,B0005
48,1.808128405,3.013358351,-0.00251412,38.78195999,3329.266,B0006
48,1.815702515,2.177349809,-1.986998523,40.36194489,3329.266,B0007
48,1.677778319,3.312914062,-0.000678723,34.34093454,3240.031,B0018
49,1.767364208,3.332862126,-0.002545777,37.66314807,3301.579,B0005
49,1.775761095,3.09819201,0.000650104,37.85904701,3301.579,B0006
49,1.800243218,2.180136102,-1.987598634,39.66769653,3301.579,B0007
49,1.66065869,3.347201035,0.002358026,34.02665838,3232.265,B0018
50,1.757017785,3.333761215,0.000914217,37.41262018,3283.563,B0005
50,1.744740984,3.167346834,0.001188465,37.12135762,3283.563,B0006
50,1.790447621,2.12862952,-1.988124332,39.4811814,3283.563,B0007
50,1.666410927,3.341784146,0.000532716,34.77997329,3232.031,B0018
51,1.746870618,3.361505749,0.000229717,36.98304922,3275.125,B0005
51,1.729207034,3.228685512,-0.003510279,36.58048671,3275.125,B0006
51,1.780343032,2.819149314,0.000700811,39.41905114,3275.125,B0007
51,1.646833617,3.340953803,0.001286104,34.91089521,3209.515,B0018
52,1.741717251,3.352855281,-0.003677569,37.11383317,3265.656,B0005
52,1.708108655,3.259572455,-0.001254241,36.4364075,3265.656,B0006
52,1.77532877,2.791498672,0.000150409,39.72196117,3265.656,B0007
52,1.625763993,3.393857211,0.001032348,34.07147606,3196.125,B0018
53,1.736422506,3.365152082,-0.001924144,37.44763048,3266.093,B0005
53,1.697595424,3.277419952,-0.002464279,36.53091042,3266.093,B0006
53,1.770262973,2.912699551,-0.003713776,40.03166031,3266.093,B0007
53,1.612157741,3.379431086,-0.002351923,34.32783951,3172.562,B0018
54,1.726321724,3.38577286,0.000499507,36.88044924,3257.594,B0005
54,1.682063452,3.30954191,-0.003735704,36.06449508,3257.594,B0006
54,1.760081062,2.995987713,-0.000115522,39.4715147,3257.594,B0007
54,1.605736682,3.4005756,-0.001435774,34.12133578,3172.735,B0018
55,1.715806539,3.408443186,-0.000736288,36.63224569,3248.593,B0005
55,1.671476832,3.322945796,-0.004205019,35.94327251,3248.593,B0006
55,1.749647594,2.972676873,-0.002283351,39.72504113,3248.593,B0007
55,1.673645315,3.313863632,-0.005027017,34.66127067,3238.109,B0018
56,1.710533351,3.409832097,0.000203542,36.73387962,3238.766,B0005
56,1.660759139,3.326877495,-0.004577471,35.89295329,3238.766,B0006
56,1.749650075,2.981408978,-0.002542992,39.74335777,3238.766,B0007
56,1.640434857,3.35177638,-0.000712285,34.64276067,3191.063,B0018
57,1.7060145,3.417268005,-0.005241133,36.82798617,3240.14,B0005
57,1.651121015,3.3364001,-0.00422055,35.95951502,3240.14,B0006
57,1.745028739,3.030747306,-0.000354443,39.81953913,3240.14,B0007
57,1.613265332,3.367600825,-0.000977332,34.63237476,3165.828,B0018
58,1.700311027,3.421833589,-0.000457584,37.08800149,3230.109,B0005
58,1.640134926,3.356231324,-0.0046303,36.03733182,3230.109,B0006
58,1.739645746,3.039062337,0.000513601,40.01028251,3230.109,B0007
58,1.592096432,3.38774316,0.001835628,34.4539714,3140.407,B0018
59,1.69457986,3.427142406,-0.0023235,36.75804959,3229.781,B0005
59,1.629199942,3.371466361,0.001474388,35.71327174,3229.781,B0006
59,1.728564228,3.073271767,-0.004044406,39.75053705,3229.781,B0007
59,1.586601182,3.416049349,0.003491818,34.12379741,3131.922,B0018
60,1.684902909,3.438178718,-0.001432966,36.66588768,3212.469,B0005
60,1.60884963,3.396018762,-0.004672744,35.36649835,3212.469,B0006
60,1.723900325,3.098778836,-0.002713376,39.59496852,3212.469,B0007
60,1.580076649,3.421472451,0.001359849,34.10164946,3121.109,B0018
61,1.674474159,3.465640473,-0.001928563,36.22708832,3213.219,B0005
61,1.60352449,3.393882522,-0.004211278,35.18665272,3213.219,B0006
61,1.713978878,3.121368259,-0.004186989,39.58448144,3213.219,B0007
61,1.564173295,3.415883249,0.00304324,34.39355812,3105.265,B0018
62,1.674569248,3.444985935,-0.000747654,36.83574345,3203.578,B0005
62,1.598971214,3.39781587,-0.004421042,35.67614712,3203.578,B0006
62,1.7139702,3.134628907,-0.001695369,39.78150284,3203.578,B0007
62,1.555618272,3.441266303,0.001071702,34.1019197,3091.25,B0018
63,1.663716376,3.467467091,0.000238786,36.31129508,3195.125,B0005
63,1.587627312,3.416423033,-0.000320003,34.71660829,3195.125,B0006
63,1.703652117,3.121005706,-0.000635056,39.61214975,3195.125,B0007
63,1.540204528,3.440421318,-0.003608566,34.20389504,3076.703,B0018
64,1.659013869,3.471730001,-0.000978078,36.57728194,3195.313,B0005
64,1.582971974,3.417549529,-0.001444462,35.02873638,3195.313,B0006
64,1.704013747,3.16450137,-0.000103956,39.80746181,3195.313,B0007
64,1.532161302,3.445662321,-0.000958459,34.2502124,3062.328,B0018
65,1.653854057,3.466070336,-0.001671215,36.61716358,3186.297,B0005
65,1.567137637,3.427505386,-0.003482665,34.77499131,3186.297,B0006
65,1.693571616,3.210026376,0.00052028,39.41546685,3186.297,B0007
65,1.53162324,3.438874221,-0.001658833,34.26909054,3050.563,B0018
66,1.642653782,3.485289155,0.000145294,36.28502922,3176.438,B0005
66,1.561344614,3.434750843,-0.004482648,34.69789798,3176.438,B0006
66,1.687657736,3.210589611,-0.006451571,39.38468423,3176.438,B0007
66,1.522259595,3.463845759,0.000224304,33.93673654,3034.672,B0018
67,1.637857843,3.480022171,-0.003882124,36.40409776,3167.593,B0005
67,1.551171189,3.44819802,-0.001219527,34.60054157,3167.593,B0006
67,1.683074436,3.211652713,-0.00399359,39.44521506,3167.593,B0007
67,1.506526713,3.460795315,0.002192863,33.94589219,3031.25,B0018
68,1.632735041,3.487572729,-0.004430966,36.33612654,3167.719,B0005
68,1.540674161,3.447136358,0.000722634,34.65518631,3167.719,B0006
68,1.677927014,3.236789079,-0.002354597,39.35070556,3167.719,B0007
68,1.501421956,3.45793996,0.001506946,34.14326364,3011.343,B0018
69,1.627752892,3.48458314,-0.002779507,36.42204258,3159.078,B0005
69,1.525313874,3.455115441,-0.001927143,34.49661504,3159.078,B0006
69,1.673206028,3.236252355,-0.003300493,39.41976351,3159.078,B0007
69,1.496353412,3.458624303,0.000977114,34.21387438,3003,B0018
70,1.622125486,3.484004412,-0.000984305,36.46650027,3148.829,B0005
70,1.530157032,3.468023005,-0.001288228,34.58789397,3148.829,B0006
70,1.667436721,3.238140257,-0.000265768,39.408643,3148.829,B0007
70,1.5334262,3.414320677,0.00571147,34.69706864,3045.187,B0018
71,1.61132566,3.508463138,-0.003643503,36.01706888,3149.094,B0005
71,1.524656683,3.471133597,-0.004490312,34.48391219,3149.094,B0006
71,1.662266263,3.260791247,-0.00071096,39.26414378,3149.094,B0007
71,1.523845268,3.441289288,-0.002109818,34.65377199,3028.469,B0018
72,1.60656314,3.503787286,-0.000527974,36.12135272,3140.547,B0005
72,1.514549299,3.488339089,-0.001221569,34.3231683,3140.547,B0006
72,1.657424307,3.257637774,-0.002723561,39.36784552,3140.547,B0007
72,1.501192099,3.443497944,0.001210354,34.5039069,3012.937,B0018
73,1.601514223,3.500128757,0.00051028,36.20196695,3131.625,B0005
73,1.509391505,3.48822644,-9.20E-05,34.37112414,3131.625,B0006
73,1.652538685,3.256197957,-0.003566946,39.3995952,3131.625,B0007
73,1.492417671,3.459920939,0.0006052,34.47189925,2998.875,B0018
74,1.590369231,3.517670766,-0.003099056,35.8666031,3121.907,B0005
74,1.503997433,3.487700235,-0.002546203,34.37262004,3121.907,B0006
74,1.647217463,3.261237667,-0.004376545,39.32054525,3121.907,B0007
74,1.483323852,3.468314103,-0.001814791,34.29303577,2983.547,B0018
75,1.585788997,3.517448609,-0.004404316,35.80553828,3122.125,B0005
75,1.493520192,3.501914421,-0.001805051,34.06737353,3122.125,B0006
75,1.636413681,3.276791226,-0.001412983,39.2246673,3122.125,B0007
75,1.480737679,3.461167189,-0.002404569,34.44293908,2966.86,B0018
76,1.584943071,3.516013267,-0.001663602,35.6702667,3121.672,B0005
76,1.487632302,3.506489884,-0.002346996,34.01427816,3121.672,B0006
76,1.636255431,3.280204681,-0.001299369,39.0446527,3121.672,B0007
76,1.473507781,3.478026972,8.52E-05,34.34721214,2954.797,B0018
77,1.595526389,3.496983702,-0.001124179,36.34696099,3120.86,B0005
77,1.530287621,3.461271256,-0.001589364,35.63390029,3120.86,B0006
77,1.641119179,3.246330916,-0.003109086,39.49011144,3120.86,B0007
77,1.468019285,3.460131373,-0.001982681,34.85167503,2945.735,B0018
78,1.574730175,3.520220864,-0.003973954,35.52300699,3103.828,B0005
78,1.504076009,3.495979747,-0.002813062,34.63193513,3103.828,B0006
78,1.631570079,3.284793531,-0.001755631,38.82694232,3103.828,B0007
78,1.458092356,3.470528678,0.001498235,34.62998607,2941.375,B0018
79,1.564901995,3.529225684,6.07E-05,35.26695893,3095.094,B0005
79,1.488759361,3.495868233,-0.002245548,34.4836648,3095.094,B0006
79,1.621213283,3.278208354,-0.004172109,38.88522538,3095.094,B0007
