"Category","Current","Power"
"18:17:11",-0.0504,0.003385
"18:17:13",-0.05034,0.294197
"18:17:15",-0.050338,-0.181814
"18:17:17",-0.050326,-0.181596
"18:17:19",-0.05031,-0.181576
"18:17:21",-0.050337,-0.181523
"18:17:23",-0.050318,-0.181461
"18:17:25",-0.050362,-0.181548
"18:17:27",-0.05036,-0.181475
"18:17:29",-0.050328,-0.181628
"18:17:31",-0.050383,-0.181609
"18:17:33",-0.050363,-0.181496
"18:17:35",-0.05036,-0.18169
"18:17:37",-0.050353,-0.181614
"18:17:39",-0.050349,-0.181605
"18:17:41",-0.050334,-0.181577
"18:17:43",-0.050363,-0.181561
"18:17:45",-0.050373,-0.181502
"18:17:47",-0.050361,-0.181603
"18:17:49",-0.050376,-0.181645
"18:17:51",-0.050367,-0.181593
"18:17:53",-0.050334,-0.181653
"18:17:55",-0.050362,-0.181609
"18:17:57",-0.050335,-0.181494
"18:17:59",-0.050363,-0.181594
"18:18:01",-0.050354,-0.18149
"18:18:03",-0.050365,-0.181583
"18:18:06",-0.050356,-0.18155
"18:18:08",-0.050368,-0.181591
"18:18:10",-0.05034,-0.181548
"18:18:12",-0.050338,-0.181592
"18:18:14",-0.050321,-0.181487
"18:18:16",-0.050341,-0.181479
"18:18:18",-0.050312,-0.18142
"18:18:20",-0.050356,-0.181481
"18:18:22",-0.050364,-0.181376
"18:18:24",-0.050362,-0.18153
"18:18:26",-0.050308,-0.181555
"18:18:28",-0.050329,-0.181548
"18:18:30",-0.050308,-0.181347
"18:18:32",-0.050339,-0.181421
"18:18:34",-0.050341,-0.181345
"18:18:36",-0.05034,-0.181451
"18:18:38",-0.050295,-0.181453
"18:18:40",-0.050377,-0.181449
"18:18:42",-0.050375,-0.181287
"18:18:44",-0.050357,-0.181569
"18:18:46",-0.050304,-0.181559
"18:18:48",-0.05032,-0.18149
"18:18:50",-0.050363,-0.181303
"18:18:52",-0.050341,-0.181351
"18:18:54",-0.050304,-0.181505
"18:18:56",-0.050353,-0.181425
"18:18:58",-0.050338,-0.181287
"18:19:00",-0.050329,-0.181462
"18:19:02",-0.050325,-0.181402
"18:19:04",-0.050377,-0.181368
"18:19:06",-0.050344,-0.181357
"18:19:08",-0.050332,-0.181536
"18:19:10",-0.050342,-0.181414
"18:19:12",-0.050354,-0.181376
"18:19:14",-0.050348,-0.181407
"18:19:16",-0.050353,-0.181453
"18:19:18",-0.050357,-0.181427
"18:19:20",-0.050343,-0.181441
"18:19:22",-0.050349,-0.181458
"18:19:24",-0.050354,-0.181408
"18:19:26",-0.050376,-0.181427
"18:19:28",-0.050351,-0.181446
"18:19:30",-0.050332,-0.181526
"18:19:32",-0.050333,-0.181434
"18:19:34",-0.050332,-0.181359
"18:19:36",-0.050325,-0.181367
"18:19:38",-0.050355,-0.181364
"18:19:40",-0.050333,-0.181337
"18:19:42",-0.050347,-0.181442
"18:19:44",-0.050342,-0.181365
"18:19:46",-0.050336,-0.181413
"18:19:48",-0.050326,-0.181395
"18:19:50",-0.050345,-0.181367
"18:19:52",-0.050338,-0.181335
"18:19:54",-0.050311,-0.181402
"18:19:56",-0.050313,-0.181368
"18:19:58",-0.050342,-0.181276
"18:20:00",-0.050354,-0.18128
"18:20:02",-0.050342,-0.181383
"18:20:04",-0.050348,-0.181416
"18:20:06",-0.050317,-0.18138
"18:20:08",-0.050299,-0.181399
"18:20:10",-0.050319,-0.18129
"18:20:12",-0.050313,-0.181221
"18:20:14",-0.050317,-0.181292
"18:20:16",-0.050326,-0.181265
"18:20:18",-0.050292,-0.18128
"18:20:20",-0.050329,-0.181308
"18:20:22",-0.050347,-0.181189
"18:20:24",-0.05033,-0.181321
"18:20:26",-0.0503,-0.181375
"18:20:28",-0.050345,-0.181316
"18:20:30",-0.05035,-0.181207
"18:20:32",-0.050319,-0.181365
"18:20:34",-0.050318,-0.181379
"18:20:36",-0.050325,-0.181271
"18:20:38",-0.050285,-0.181265
"18:20:40",-0.050299,-0.181285
"18:20:42",-0.050331,-0.181142
"18:20:44",-0.050355,-0.181188
"18:20:46",-0.050369,-0.181306
"18:20:48",-0.050341,-0.181384
"18:20:50",-0.050294,-0.18144
"18:20:52",-0.050326,-0.181334
"18:20:54",-0.050319,-0.181166
"18:20:56",-0.05031,-0.181272
"18:20:58",-0.050332,-0.181252
"18:21:00",-0.050375,-0.181217
"18:21:02",-0.050306,-0.181293
"18:21:04",-0.050308,-0.181442
"18:21:06",-0.050317,-0.181197
"18:21:08",-0.050321,-0.1812
"18:21:10",-0.050301,-0.181232
"18:21:12",-0.050348,-0.181248
"18:21:14",-0.050326,-0.181174
"18:21:16",-0.050294,-0.181335
"18:21:18",-0.050327,-0.181261
"18:21:20",-0.050286,-0.181143
"18:21:22",-0.050306,-0.181258
"18:21:24",-0.050305,-0.181112
"18:21:26",-0.050336,-0.181178
"18:21:28",-0.050347,-0.181178
"18:21:30",-0.050339,-0.181285
"18:21:32",-0.050366,-0.181318
"18:21:34",-0.050297,-0.181291
"18:21:36",-0.050303,-0.181385
"18:21:38",-0.050325,-0.181138
"18:21:40",-0.050273,-0.181156
"18:21:42",-0.050354,-0.181237
"18:21:44",-0.050316,-0.181047
"18:21:46",-0.050417,-0.181337
"18:21:48",-0.05036,-0.181199
"18:21:50",-0.050375,-0.181557
"18:21:52",-0.050401,-0.181353
"18:21:54",-0.050318,-0.181409
"18:21:56",-0.050335,-0.181496
"18:21:58",-0.050352,-0.181202
"18:22:00",-0.050358,-0.181261
"18:22:02",-0.050359,-0.181317
"18:22:04",-0.05036,-0.181335
"18:22:06",-0.050344,-0.181342
"18:22:08",-0.050385,-0.181341
"18:22:10",-0.05037,-0.181285
"18:22:12",-0.050382,-0.18143
"18:22:14",-0.050386,-0.181377
"18:22:16",-0.050384,-0.18142
"18:22:18",-0.050308,-0.181436
"18:22:20",-0.050338,-0.181431
"18:22:22",-0.050386,-0.181155
"18:22:24",-0.050336,-0.18126
"18:22:26",-0.050308,-0.181432
"18:22:28",-0.050326,-0.181253
"18:22:30",-0.050356,-0.181152
"18:22:32",-0.05032,-0.181218
"18:22:34",-0.050339,-0.181326
"18:22:36",-0.050386,-0.181195
"18:22:38",-0.050384,-0.181262
"18:22:40",-0.050319,-0.181427
"18:22:42",-0.050312,-0.181421
"18:22:44",-0.050365,-0.181189
"18:22:46",-0.050333,-0.18116
"18:22:48",-0.050317,-0.181351
"18:22:50",-0.050306,-0.181232
"18:22:52",-0.050332,-0.181174
"18:22:54",-0.050367,-0.181139
"18:22:56",-0.050329,-0.181226
"18:22:58",-0.05035,-0.181352
"18:23:00",-0.050323,-0.181215
"18:23:02",-0.050298,-0.181289
"18:23:04",-0.050323,-0.181194
"18:23:06",-0.050333,-0.181099
"18:23:08",-0.050336,-0.181191
"18:23:10",-0.050356,-0.181226
"18:23:12",-0.050338,-0.181229
"18:23:14",-0.050331,-0.181305
"18:23:16",-0.050337,-0.181233
"18:23:18",-0.050339,-0.181211
"18:23:20",-0.050303,-0.181228
"18:23:22",-0.05038,-0.181235
"18:23:24",-0.050405,-0.181109
"18:23:26",-0.050318,-0.181382
"18:23:28",-0.050313,-0.181469
"18:23:30",-0.050356,-0.181157
"18:23:32",-0.05034,-0.181134
"18:23:34",-0.050339,-0.181288
"18:23:36",-0.05035,-0.181229
"18:23:38",-0.050354,-0.181226
"18:23:40",-0.050386,-0.181269
"18:23:42",-0.050334,-0.181279
"18:23:44",-0.050322,-0.181389
"18:23:46",-0.050319,-0.181204
"18:23:48",-0.050339,-0.181157
"18:23:50",-0.050327,-0.181147
"18:23:52",-0.050355,-0.181216
"18:23:54",-0.050297,-0.181176
"18:23:56",-0.050368,-0.18127
"18:23:58",-0.050305,-0.181062
"18:24:00",-0.050343,-0.181314
"18:24:02",-0.050349,-0.181091
"18:24:04",-0.050389,-0.181219
"18:24:06",-0.050316,-0.181238
"18:24:08",-0.050369,-0.18138
"18:24:10",-0.050338,-0.18112
"18:24:12",-0.050281,-0.181303
"18:24:14",-0.050314,-0.181191
"18:24:16",-0.050296,-0.180987
"18:24:18",-0.050345,-0.181105
"18:24:20",-0.050315,-0.181035
"18:24:22",-0.050331,-0.181209
"18:24:24",-0.050353,-0.1811
"18:24:26",-0.050329,-0.181155
"18:24:28",-0.050308,-0.181231
"18:24:30",-0.05032,-0.181144
"18:24:32",-0.05037,-0.181068
"18:24:34",-0.050378,-0.181109
"18:24:36",-0.050304,-0.181279
"18:24:38",-0.050313,-0.181311
"18:24:40",-0.050342,-0.181049
"18:24:42",-0.050309,-0.181077
"18:24:44",-0.050336,-0.181183
"18:24:46",-0.050327,-0.181059
"18:24:48",-0.050339,-0.181154
"18:24:50",-0.050348,-0.181118
"18:24:52",-0.050361,-0.18116
"18:24:54",-0.050321,-0.181192
"18:24:56",-0.050356,-0.181234
"18:24:58",-0.050347,-0.181093
"18:25:00",-0.050304,-0.181219
"18:25:02",-0.050306,-0.181187
"18:25:04",-0.050342,-0.181032
"18:25:06",-0.050324,-0.181037
"18:25:08",-0.050322,-0.181171
"18:25:10",-0.050358,-0.181103
"18:25:12",-0.050369,-0.181096
"18:25:14",-0.050382,-0.181222
"18:25:16",-0.05034,-0.181262
"18:25:18",-0.050385,-0.181309
"18:25:20",-0.050269,-0.181152
"18:25:22",-0.05031,-0.181317
"18:25:24",-0.050349,-0.180905
"18:25:26",-0.050296,-0.181048
"18:25:28",-0.050321,-0.18118
"18:25:30",-0.050302,-0.180999
"18:25:32",-0.050302,-0.181083
"18:25:34",-0.050332,-0.181015
"18:25:36",-0.050379,-0.181021
"18:25:38",-0.050351,-0.18112
"18:25:40",-0.0503,-0.18129
"18:25:42",-0.05038,-0.181187
"18:25:44",-0.05031,-0.181008
"18:25:46",-0.050348,-0.181291
"18:25:48",-0.050335,-0.181039
"18:25:50",-0.050298,-0.18117
"18:25:52",-0.050308,-0.181125
"18:25:54",-0.050334,-0.180998
"18:25:56",-0.050319,-0.181027
"18:25:58",-0.050271,-0.181122
"18:26:00",-0.050323,-0.181062
"18:26:02",-0.05029,-0.180896
"18:26:04",-0.050323,-0.181078
"18:26:06",-0.050311,-0.180959
"18:26:08",-0.050294,-0.181076
"18:26:10",-0.05032,-0.181034
"18:26:12",-0.050324,-0.180972
"18:26:14",-0.050332,-0.181062
"18:26:16",-0.050316,-0.181072
"18:26:18",-0.050292,-0.181097
"18:26:20",-0.050319,-0.181044
"18:26:22",-0.050348,-0.180953
"18:26:24",-0.050283,-0.181051
"18:26:26",-0.050332,-0.181144
"18:26:28",-0.050334,-0.180921
"18:26:30",-0.050308,-0.181094
"18:26:32",-0.050306,-0.181093
"18:26:34",-0.050314,-0.181002
"18:26:36",-0.050277,-0.180992
"18:26:38",-0.050307,-0.181018
"18:26:40",-0.050333,-0.180885
"18:26:42",-0.050357,-0.18099
"18:26:44",-0.050333,-0.181082
"18:26:46",-0.050316,-0.181171
"18:26:48",-0.050342,-0.181077
"18:26:50",-0.050328,-0.181018
"18:26:52",-0.05036,-0.181107
"18:26:54",-0.050355,-0.181052
"18:26:56",-0.050334,-0.181165
"18:26:58",-0.050332,-0.181146
"18:27:00",-0.050317,-0.181073
"18:27:02",-0.050319,-0.181063
"18:27:04",-0.050303,-0.181009
"18:27:06",-0.050326,-0.181013
"18:27:08",-0.050346,-0.180958
"18:27:10",-0.050366,-0.181035
"18:27:12",-0.050325,-0.181103
"18:27:14",-0.050283,-0.181169
"18:27:16",-0.050342,-0.181027
"18:27:18",-0.050295,-0.180876
"18:27:20",-0.050285,-0.18108
"18:27:22",-0.050319,-0.180912
"18:27:24",-0.050347,-0.18088
"18:27:26",-0.050341,-0.180994
"18:27:28",-0.050313,-0.181096
"18:27:30",-0.050297,-0.181071
"18:27:32",-0.050358,-0.180973
"18:27:34",-0.050328,-0.180915
"18:27:36",-0.05031,-0.18113
"18:27:38",-0.050264,-0.181018
"18:27:40",-0.05031,-0.180954
"18:27:42",-0.050327,-0.18079
"18:27:44",-0.050353,-0.180952
"18:27:46",-0.050335,-0.181012
"18:27:48",-0.0503,-0.181096
"18:27:50",-0.050371,-0.181032
"18:27:52",-0.050299,-0.180907
"18:27:54",-0.050327,-0.181163
"18:27:56",-0.050338,-0.180903
"18:27:58",-0.050343,-0.180996
"18:28:00",-0.050339,-0.181041
"18:28:02",-0.050311,-0.181059
"18:28:04",-0.050287,-0.181038
"18:28:06",-0.050328,-0.180937
"18:28:08",-0.050285,-0.180857
"18:28:10",-0.050341,-0.180992
"18:28:12",-0.050296,-0.180844
"18:28:14",-0.050308,-0.181039
"18:28:16",-0.050321,-0.18088
"18:28:18",-0.050356,-0.180922
"18:28:20",-0.050299,-0.180967
"18:28:22",-0.050307,-0.181089
"18:28:24",-0.050323,-0.180885
"18:28:26",-0.050336,-0.180909
"18:28:28",-0.050364,-0.180963
"18:28:30",-0.05034,-0.181017
"18:28:32",-0.050328,-0.181109
"18:28:34",-0.050366,-0.181026
"18:28:36",-0.050331,-0.180978
"18:28:38",-0.050314,-0.181113
"18:28:40",-0.050348,-0.180988
"18:28:42",-0.05034,-0.180929
"18:28:44",-0.050319,-0.181047
"18:28:46",-0.050342,-0.181021
"18:28:48",-0.05032,-0.180944
"18:28:50",-0.050309,-0.181023
"18:28:52",-0.050358,-0.180943
"18:28:54",-0.050326,-0.1809
"18:28:56",-0.050346,-0.181079
"18:28:58",-0.050336,-0.180966
"18:29:00",-0.050353,-0.181034
"18:29:02",-0.050314,-0.180994
"18:29:04",-0.050318,-0.181059
"18:29:06",-0.050341,-0.18092
"18:29:08",-0.050341,-0.180938
"18:29:10",-0.050303,-0.181014
"18:29:12",-0.050337,-0.181015
"18:29:14",-0.050336,-0.180872
"18:29:16",-0.050326,-0.180996
"18:29:18",-0.05034,-0.180988
"18:29:20",-0.05038,-0.180964
"18:29:22",-0.050366,-0.181004
"18:29:24",-0.050351,-0.181152
"18:29:26",-0.050328,-0.181102
"18:29:28",-0.050314,-0.181045
"18:29:30",-0.050356,-0.180967
"18:29:32",-0.050308,-0.180912
"18:29:34",-0.050305,-0.181058
"18:29:37",-0.050367,-0.180884
"18:29:39",-0.050319,-0.180877
"18:29:41",-0.050336,-0.181092
"18:29:43",-0.050381,-0.180928
"18:29:45",-0.050343,-0.180984
"18:29:47",-0.050322,-0.181146
"18:29:49",-0.05039,-0.181008
"18:29:51",-0.050331,-0.180933
"18:29:53",-0.050364,-0.181176
"18:29:55",-0.050322,-0.180965
"18:29:57",-0.050344,-0.181084
"18:29:59",-0.050348,-0.180935
"18:30:01",-0.050311,-0.181009
"18:30:03",-0.050339,-0.181024
"18:30:05",-0.050304,-0.180892
"18:30:07",-0.050326,-0.180987
"18:30:09",-0.05031,-0.180866
"18:30:11",-0.050364,-0.180946
"18:30:13",-0.050264,-0.180883
"18:30:15",-0.050334,-0.181071
"18:30:17",-0.050324,-0.180722
"18:30:19",-0.050322,-0.180963
"18:30:21",-0.05031,-0.180928
"18:30:23",-0.050314,-0.180916
"18:30:25",-0.050359,-0.18088
"18:30:27",-0.050367,-0.180885
"18:30:29",-0.050324,-0.181054
"18:30:31",-0.050341,-0.181078
"18:30:33",-0.050322,-0.180923
"18:30:35",-0.050313,-0.180978
"18:30:37",-0.050361,-0.18091
"18:30:39",-0.05034,-0.18088
"18:30:41",-0.050336,-0.181052
"18:30:43",-0.050365,-0.180978
"18:30:45",-0.050274,-0.180961
"18:30:47",-0.050332,-0.181057
"18:30:49",-0.050277,-0.180734
"18:30:51",-0.050323,-0.180942
"18:30:53",-0.050349,-0.180743
"18:30:55",-0.050326,-0.180904
"18:30:57",-0.050364,-0.180992
"18:30:59",-0.050299,-0.180911
"18:31:01",-0.050311,-0.181046
"18:31:03",-0.050323,-0.180814
"18:31:05",-0.050327,-0.180853
"18:31:07",-0.050317,-0.180901
"18:31:09",-0.050296,-0.180908
"18:31:11",-0.05029,-0.180871
"18:31:13",-0.050305,-0.180792
"18:31:15",-0.050335,-0.180769
"18:31:17",-0.050314,-0.180819
"18:31:19",-0.0503,-0.180931
"18:31:21",-0.050311,-0.180851
"18:31:23",-0.050308,-0.180798
"18:31:25",-0.050337,-0.180838
"18:31:27",-0.050319,-0.180824
"18:31:29",-0.050354,-0.180928
"18:31:31",-0.050336,-0.180861
"18:31:33",-0.050314,-0.180984
"18:31:35",-0.050353,-0.18092
